,hypergraph,two_nest_set,three_nest_set
240,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 6, 7], 'e2': [1, 2, 5, 8]}","[[1, 4], [1, 8], [3, 4], [3, 6], [3, 7], [4, 6], [4, 7], [4, 8], [6, 7]]","[[1, 4], [1, 8], [3, 4], [3, 6], [3, 7], [4, 6], [4, 7], [4, 8], [6, 7]]"
241,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 6, 7], 'e2': [2, 3, 5], 'e3': [7, 8]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [4, 8], [5, 6], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [4, 8], [5, 6], [6, 8], [7, 8]]"
242,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 6, 7], 'e2': [3, 6, 8], 'e3': [3, 6]}","[[1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [2, 4], [2, 5], [2, 7], [2, 8], [3, 8], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [6, 8], [7, 8]]","[[1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [2, 4], [2, 5], [2, 7], [2, 8], [3, 8], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [6, 8], [7, 8]]"
243,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 6, 8], 'e2': [4, 6, 8], 'e3': [4, 5, 8]}","[[1, 2], [1, 3], [1, 7], [2, 3], [2, 7], [3, 7], [4, 5], [4, 6]]","[[1, 2], [1, 3], [1, 7], [2, 3], [2, 7], [3, 7], [4, 5], [4, 6]]"
244,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 6], 'e2': [1, 2, 3], 'e3': [1, 3, 6]}","[[1, 2], [1, 6], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]","[[1, 2], [1, 6], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]"
245,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 6], 'e2': [1, 3, 4, 7], 'e3': [1, 4]}","[[1, 4], [1, 7], [1, 8], [2, 5], [2, 6], [2, 8], [4, 7], [4, 8], [5, 6], [5, 8], [6, 8], [7, 8]]","[[1, 4], [1, 7], [1, 8], [2, 5], [2, 6], [2, 8], [4, 7], [4, 8], [5, 6], [5, 8], [6, 8], [7, 8]]"
246,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 6], 'e2': [1, 3, 4], 'e3': [5, 7]}","[[1, 4], [1, 8], [2, 6], [2, 7], [2, 8], [4, 8], [5, 7], [6, 7], [6, 8], [7, 8]]","[[1, 4], [1, 8], [2, 6], [2, 7], [2, 8], [4, 8], [5, 7], [6, 7], [6, 8], [7, 8]]"
247,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 7, 8], 'e2': [1, 2, 3], 'e3': [1, 3, 6]}","[[1, 6], [4, 5], [4, 6], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]","[[1, 6], [4, 5], [4, 6], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]"
248,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 7, 8], 'e2': [1, 2, 5], 'e3': [2, 5, 7]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [3, 4], [3, 6], [3, 7], [3, 8], [4, 6], [4, 7], [4, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [3, 4], [3, 6], [3, 7], [3, 8], [4, 6], [4, 7], [4, 8], [6, 7], [6, 8], [7, 8]]"
249,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 8], 'e2': [1, 5, 7], 'e3': [4, 5, 6]}","[[1, 7], [2, 3], [2, 8], [3, 8], [4, 6]]","[[1, 7], [2, 3], [2, 8], [3, 8], [4, 6]]"
250,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5, 8], 'e2': [2, 3, 5, 7], 'e3': [1, 2]}","[[1, 4], [1, 6], [1, 7], [1, 8], [3, 7], [3, 8], [4, 6], [4, 7], [4, 8], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 4], [1, 6], [1, 7], [1, 8], [3, 7], [3, 8], [4, 6], [4, 7], [4, 8], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
251,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 5], 'e2': [5, 6, 8], 'e3': [1, 3, 4]}","[[1, 4], [1, 7], [2, 7], [4, 7], [6, 7], [6, 8], [7, 8]]","[[1, 4], [1, 7], [2, 7], [4, 7], [6, 7], [6, 8], [7, 8]]"
252,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 6, 7], 'e2': [2, 4, 5, 7], 'e3': [2, 4]}","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 8], [3, 6], [3, 8], [4, 5], [4, 8], [5, 8], [6, 8]]","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 8], [3, 6], [3, 8], [4, 5], [4, 8], [5, 8], [6, 8]]"
253,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 6, 7], 'e2': [3, 7, 8], 'e3': [1, 3]}","[[1, 2], [1, 4], [1, 5], [1, 6], [1, 8], [2, 4], [2, 5], [2, 6], [2, 8], [4, 5], [4, 6], [4, 8], [5, 6], [5, 8], [6, 8], [7, 8]]","[[1, 2], [1, 4], [1, 5], [1, 6], [1, 8], [2, 4], [2, 5], [2, 6], [2, 8], [4, 5], [4, 6], [4, 8], [5, 6], [5, 8], [6, 8], [7, 8]]"
254,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 7, 8], 'e2': [1, 2, 4], 'e3': [3, 8]}","[[1, 4], [1, 5], [1, 6], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 4], [1, 5], [1, 6], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
255,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 7, 8], 'e2': [1, 3, 7], 'e3': [5, 6]}","[[1, 2], [1, 3], [1, 4], [1, 7], [1, 8], [2, 4], [2, 8], [4, 5], [4, 6], [4, 8], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 7], [1, 8], [2, 4], [2, 8], [4, 5], [4, 6], [4, 8], [5, 6]]"
256,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 3, 7], 'e2': [1, 2, 7], 'e3': [3, 4, 8]}","[[1, 2], [1, 5], [1, 6], [1, 7], [4, 5], [4, 6], [4, 8], [5, 6], [5, 8], [6, 8]]","[[1, 2], [1, 5], [1, 6], [1, 7], [4, 5], [4, 6], [4, 8], [5, 6], [5, 8], [6, 8]]"
257,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 5, 6, 7], 'e2': [2, 4, 7], 'e3': [1, 3, 6]}","[[1, 3], [1, 8], [2, 4], [2, 5], [2, 7], [2, 8], [3, 8], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]","[[1, 3], [1, 8], [2, 4], [2, 5], [2, 7], [2, 8], [3, 8], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]"
258,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 5, 7, 8], 'e2': [1, 5, 6], 'e3': [3, 7]}","[[1, 6], [2, 3], [2, 4], [2, 8], [3, 4], [3, 7], [3, 8], [4, 8]]","[[1, 6], [2, 3], [2, 4], [2, 8], [3, 4], [3, 7], [3, 8], [4, 8]]"
259,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 5, 7, 8], 'e2': [6, 7, 8], 'e3': [1, 7, 8]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]"
260,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 5, 8], 'e2': [1, 2, 4, 5], 'e3': [3, 8]}","[[1, 2], [1, 4], [1, 5], [1, 6], [1, 7], [3, 6], [3, 7], [3, 8], [6, 7]]","[[1, 2], [1, 4], [1, 5], [1, 6], [1, 7], [3, 6], [3, 7], [3, 8], [6, 7]]"
261,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 5, 8], 'e2': [4, 5, 7, 8], 'e3': [2, 7]}","[[1, 3], [1, 6], [2, 7], [3, 6]]","[[1, 3], [1, 6], [2, 7], [3, 6]]"
262,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 6, 8], 'e2': [3, 6, 7], 'e3': [3, 5, 7]}","[[1, 2], [1, 4], [1, 5], [1, 8], [2, 4], [2, 8], [3, 5], [4, 8], [5, 7]]","[[1, 2], [1, 4], [1, 5], [1, 8], [2, 4], [2, 8], [3, 5], [4, 8], [5, 7]]"
263,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 6], 'e2': [2, 6, 8], 'e3': [2, 4, 5]}","[[1, 3], [1, 5], [1, 7], [1, 8], [3, 5], [3, 7], [3, 8], [4, 5], [5, 7], [6, 8], [7, 8]]","[[1, 3], [1, 5], [1, 7], [1, 8], [3, 5], [3, 7], [3, 8], [4, 5], [5, 7], [6, 8], [7, 8]]"
264,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 6], 'e2': [5, 6]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 7], [2, 8], [3, 4], [3, 5], [3, 7], [3, 8], [4, 5], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 7], [2, 8], [3, 4], [3, 5], [3, 7], [3, 8], [4, 5], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [7, 8]]"
265,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 4, 7, 8], 'e2': [1, 3, 5, 6], 'e3': [1, 4]}","[[2, 7], [2, 8], [3, 5], [3, 6], [5, 6], [7, 8]]","[[2, 7], [2, 8], [3, 5], [3, 6], [5, 6], [7, 8]]"
266,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 5, 6, 7, 8], 'e2': [1, 3, 4], 'e3': [1, 4]}","[[1, 3], [1, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 3], [1, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
267,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 5, 6, 7, 8], 'e2': [1, 3, 4], 'e3': [2, 7]}","[[1, 3], [1, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 3], [1, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
268,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 5, 6, 7, 8], 'e2': [2, 4, 6], 'e3': [2, 5]}","[[1, 3], [1, 4], [1, 5], [1, 7], [1, 8], [3, 4], [3, 5], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]","[[1, 3], [1, 4], [1, 5], [1, 7], [1, 8], [3, 4], [3, 5], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]"
269,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 5, 6, 7, 8], 'e2': [2, 5, 7], 'e3': [2, 8]}","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
270,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 5, 6, 8], 'e2': [3, 5, 6]}","[[1, 2], [1, 3], [1, 4], [1, 7], [1, 8], [2, 3], [2, 4], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 7], [4, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 7], [1, 8], [2, 3], [2, 4], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 7], [4, 8], [7, 8]]"
271,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 6, 7], 'e2': [3, 4, 6], 'e3': [5, 6, 8]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 7], [1, 8], [2, 7], [3, 4], [5, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 7], [1, 8], [2, 7], [3, 4], [5, 8]]"
272,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [2, 6, 8], 'e2': [2, 4, 8], 'e3': [2, 4, 6]}","[[1, 3], [1, 5], [1, 7], [3, 5], [3, 7], [4, 6], [4, 8], [5, 7], [6, 8]]","[[1, 3], [1, 5], [1, 7], [3, 5], [3, 7], [4, 6], [4, 8], [5, 7], [6, 8]]"
273,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 6, 7, 8], 'e2': [1, 2, 3, 4], 'e3': [2, 8]}","[[5, 6], [5, 7], [6, 7]]","[[5, 6], [5, 7], [6, 7]]"
274,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 6, 7, 8], 'e2': [1, 3, 4], 'e3': [2, 8]}","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [2, 5], [2, 6], [2, 7], [2, 8], [5, 6], [5, 7], [6, 7]]","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [2, 5], [2, 6], [2, 7], [2, 8], [5, 6], [5, 7], [6, 7]]"
275,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 6, 7, 8], 'e2': [1, 3, 5], 'e3': [2, 5, 8]}","[[1, 3], [1, 4], [1, 6], [1, 7], [2, 4], [2, 6], [2, 7], [2, 8], [4, 6], [4, 7], [6, 7]]","[[1, 3], [1, 4], [1, 6], [1, 7], [2, 4], [2, 6], [2, 7], [2, 8], [4, 6], [4, 7], [6, 7]]"
276,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 6, 7], 'e2': [2, 3, 6], 'e3': [4, 5, 6]}","[[1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [2, 3], [2, 7], [2, 8], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]","[[1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [2, 3], [2, 7], [2, 8], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]"
277,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 6], 'e2': [2, 6, 7, 8], 'e3': [3, 7]}","[[1, 2], [1, 4], [1, 5], [1, 8], [2, 8], [4, 5]]","[[1, 2], [1, 4], [1, 5], [1, 8], [2, 8], [4, 5]]"
278,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 6], 'e2': [3, 4, 6], 'e3': [4, 6]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
279,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 7, 8], 'e2': [1, 4, 7], 'e3': [1, 3, 8]}","[[2, 5], [2, 6], [5, 6]]","[[2, 5], [2, 6], [5, 6]]"
280,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 7, 8], 'e2': [2, 6, 8], 'e3': [1, 2, 8]}","[[1, 2], [1, 6], [2, 6], [3, 4], [3, 5], [3, 7], [4, 5], [4, 7], [5, 7]]","[[1, 2], [1, 6], [2, 6], [3, 4], [3, 5], [3, 7], [4, 5], [4, 7], [5, 7]]"
281,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 7], 'e2': [1, 5, 7, 8], 'e3': [2, 6]}","[[1, 8], [2, 6], [3, 4]]","[[1, 8], [2, 6], [3, 4]]"
282,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5, 8], 'e2': [2, 3, 4], 'e3': [1, 3, 8]}","[[1, 5], [1, 6], [1, 7], [1, 8], [2, 4], [2, 5], [2, 6], [2, 7], [5, 6], [5, 7], [6, 7]]","[[1, 5], [1, 6], [1, 7], [1, 8], [2, 4], [2, 5], [2, 6], [2, 7], [5, 6], [5, 7], [6, 7]]"
283,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 5], 'e2': [3, 7, 8], 'e3': [4, 7, 8]}","[[1, 2], [1, 5], [1, 6], [2, 5], [2, 6], [5, 6]]","[[1, 2], [1, 5], [1, 6], [2, 5], [2, 6], [5, 6]]"
284,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 6, 7, 8], 'e2': [1, 2, 3, 5, 8]}","[[1, 2], [1, 5], [2, 5], [4, 6], [4, 7], [6, 7]]","[[1, 2], [1, 5], [2, 5], [4, 6], [4, 7], [6, 7]]"
285,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 6, 7, 8], 'e2': [2, 3, 5]}","[[1, 2], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 5], [4, 6], [4, 7], [4, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 5], [4, 6], [4, 7], [4, 8], [6, 7], [6, 8], [7, 8]]"
286,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 6, 7, 8], 'e2': [3, 4, 7], 'e3': [6, 7, 8]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 8], [3, 4], [3, 5], [4, 5], [5, 6], [5, 8], [6, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 8], [3, 4], [3, 5], [4, 5], [5, 6], [5, 8], [6, 8]]"
287,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 6, 7, 8], 'e2': [3, 7]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
288,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 6, 8], 'e2': [1, 4, 8], 'e3': [2, 4, 8]}","[[1, 2], [1, 3], [1, 5], [1, 6], [1, 7], [2, 3], [2, 5], [2, 6], [2, 7], [3, 5], [3, 6], [3, 7], [5, 6], [5, 7], [6, 7]]","[[1, 2], [1, 3], [1, 5], [1, 6], [1, 7], [2, 3], [2, 5], [2, 6], [2, 7], [3, 5], [3, 6], [3, 7], [5, 6], [5, 7], [6, 7]]"
289,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 4, 7, 8], 'e2': [3, 6, 7, 8]}","[[1, 2], [1, 4], [1, 5], [1, 6], [2, 4], [2, 5], [2, 6], [3, 4], [3, 6], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [6, 7], [6, 8]]","[[1, 2], [1, 4], [1, 5], [1, 6], [2, 4], [2, 5], [2, 6], [3, 4], [3, 6], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [6, 7], [6, 8]]"
290,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 5, 6, 7], 'e2': [1, 3, 6], 'e3': [5, 7]}","[[1, 2], [1, 3], [1, 4], [1, 6], [1, 8], [2, 4], [2, 5], [2, 7], [2, 8], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 6], [1, 8], [2, 4], [2, 5], [2, 7], [2, 8], [4, 5], [4, 7], [4, 8], [5, 7], [5, 8], [7, 8]]"
291,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 5, 6, 7], 'e2': [1, 4, 8], 'e3': [6, 7]}","[[1, 2], [1, 4], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 5], [3, 6], [3, 7], [4, 8], [5, 6], [5, 7], [6, 7]]","[[1, 2], [1, 4], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 5], [3, 6], [3, 7], [4, 8], [5, 6], [5, 7], [6, 7]]"
292,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 5, 6], 'e2': [1, 5, 7]}","[[1, 2], [1, 4], [1, 7], [1, 8], [2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [3, 4], [3, 6], [3, 8], [4, 6], [4, 7], [4, 8], [6, 8], [7, 8]]","[[1, 2], [1, 4], [1, 7], [1, 8], [2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [3, 4], [3, 6], [3, 8], [4, 6], [4, 7], [4, 8], [6, 8], [7, 8]]"
293,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 5, 8], 'e2': [4, 7]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 5], [3, 6], [3, 8], [4, 6], [4, 7], [5, 6], [5, 8], [6, 7], [6, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 5], [3, 6], [3, 8], [4, 6], [4, 7], [5, 6], [5, 8], [6, 7], [6, 8]]"
294,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 6, 8], 'e2': [3, 5, 6]}","[[1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [2, 4], [2, 5], [2, 7], [2, 8], [3, 5], [3, 8], [4, 5], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 8], [7, 8]]","[[1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [2, 4], [2, 5], [2, 7], [2, 8], [3, 5], [3, 8], [4, 5], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 8], [7, 8]]"
295,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [3, 6], 'e2': [1, 8]}","[[1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [7, 8]]","[[1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [7, 8]]"
296,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [4, 5, 6, 7], 'e2': [5, 6, 8], 'e3': [7, 8]}","[[1, 2], [1, 3], [1, 4], [2, 3], [2, 4], [3, 4], [7, 8]]","[[1, 2], [1, 3], [1, 4], [2, 3], [2, 4], [3, 4], [7, 8]]"
297,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [4, 5, 6, 8], 'e2': [1, 6, 8], 'e3': [3, 4, 7]}","[[1, 2], [1, 5], [1, 6], [1, 8], [2, 3], [2, 5], [2, 7], [3, 7]]","[[1, 2], [1, 5], [1, 6], [1, 8], [2, 3], [2, 5], [2, 7], [3, 7]]"
298,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [4, 5, 6, 8], 'e2': [2, 3, 7], 'e3': [1, 2, 3]}","[[1, 2], [1, 3], [1, 7], [2, 7], [3, 7], [4, 5], [4, 6], [4, 8], [5, 6], [5, 8], [6, 8]]","[[1, 2], [1, 3], [1, 7], [2, 7], [3, 7], [4, 5], [4, 6], [4, 8], [5, 6], [5, 8], [6, 8]]"
299,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [4, 5, 6, 8], 'e2': [4, 6, 7], 'e3': [1, 5, 8]}","[[1, 2], [1, 3], [1, 5], [1, 8], [2, 3], [2, 7], [3, 7], [4, 7], [6, 7]]","[[1, 2], [1, 3], [1, 5], [1, 8], [2, 3], [2, 7], [3, 7], [4, 7], [6, 7]]"
