,hypergraph,numVertices,numEdges,alpha,beta,lineGraphChordal,lineGraphRegular,lineGraphComplete,dual,dualAlpha,dualBeta,dualChordal,dualRegular,dualComplete
52,"{'e0': [1, 7, 6, 3, 4, 5, 2], 'e1': [8, 2, 6, 7, 5, 1], 'e2': [4, 7], 'e3': [8, 4, 6, 2, 5, 1, 3], 'e4': [3, 4, 5, 1]}",8,5,False,False,True,True,True,"{1: ['e0', 'e1', 'e3', 'e4'], 2: ['e0', 'e1', 'e3'], 3: ['e0', 'e3', 'e4'], 4: ['e0', 'e2'], 5: ['e0', 'e1', 'e3', 'e4'], 6: ['e0', 'e1', 'e3'], 7: ['e0', 'e2'], 8: ['e1', 'e3']}",True,False,True,True,True
53,"{'e0': [2, 7, 3], 'e1': [5, 7], 'e2': [6, 2, 3, 8, 1], 'e3': [7, 8, 4, 3], 'e4': [4, 6, 1]}",8,5,False,False,True,False,False,"{1: ['e2', 'e4'], 2: ['e0', 'e2'], 3: ['e0', 'e3'], 4: ['e3'], 5: ['e1'], 6: ['e2', 'e4'], 7: ['e0', 'e3'], 8: ['e2', 'e3']}",True,False,False,False,False
54,"{'e0': [8, 1, 5], 'e1': [6, 4, 2, 3], 'e2': [1, 5, 3], 'e3': [5, 2, 3, 7, 4, 8], 'e4': [2, 8, 1, 4, 3, 6]}",8,5,False,False,True,False,False,"{1: ['e0', 'e2', 'e4'], 2: ['e1', 'e3', 'e4'], 3: ['e2', 'e3', 'e4'], 4: ['e1', 'e3', 'e4'], 5: ['e0', 'e2', 'e3'], 6: ['e1', 'e4'], 7: ['e3'], 8: ['e0', 'e3', 'e4']}",False,False,True,False,False
55,"{'e0': [7, 1, 5, 4, 6, 3, 8], 'e1': [6, 8, 2, 5], 'e2': [4, 8, 2, 5, 7, 3, 1], 'e3': [4, 8, 2], 'e4': [6, 1, 2, 3]}",8,5,False,False,True,True,True,"{1: ['e0', 'e2', 'e4'], 2: ['e1', 'e2', 'e3', 'e4'], 3: ['e0', 'e2', 'e4'], 4: ['e0', 'e2', 'e3'], 5: ['e0', 'e1', 'e2'], 6: ['e0', 'e1', 'e4'], 7: ['e0', 'e2'], 8: ['e0', 'e1', 'e2', 'e3']}",False,False,True,True,True
56,"{'e0': [4, 6, 1, 3, 5, 2], 'e1': [6, 8, 5, 4, 7], 'e2': [3, 4, 1, 2, 5, 6, 8], 'e3': [6, 5, 8, 7, 3, 4], 'e4': [5, 3, 7, 8, 6, 2]}",8,5,False,False,True,True,True,"{1: ['e0', 'e2'], 2: ['e0', 'e2', 'e4'], 3: ['e0', 'e2', 'e3', 'e4'], 4: ['e0', 'e1', 'e2', 'e3'], 5: ['e0', 'e1', 'e2', 'e3', 'e4'], 6: ['e0', 'e1', 'e2', 'e3', 'e4'], 7: ['e1', 'e3', 'e4'], 8: ['e1', 'e2', 'e3', 'e4']}",True,False,True,False,False
57,"{'e0': [7, 3, 6], 'e1': [3, 2, 6, 5, 1, 7], 'e2': [6, 2, 5], 'e3': [5, 1, 2, 4, 6, 3, 7], 'e4': [1, 5, 2]}",7,5,True,False,True,False,False,"{1: ['e1', 'e3', 'e4'], 2: ['e1', 'e2', 'e3', 'e4'], 3: ['e0', 'e1', 'e3'], 4: ['e3'], 5: ['e1', 'e2', 'e3', 'e4'], 6: [], 7: ['e0', 'e1', 'e3']}",True,True,True,True,True
58,"{'e0': [7, 6], 'e1': [3, 4, 1, 5, 8], 'e2': [5, 1], 'e3': [4, 2, 5, 3], 'e4': [3, 7]}",8,5,True,False,True,False,False,"{1: ['e1', 'e2'], 2: ['e3'], 3: [], 4: ['e1', 'e3'], 5: ['e1', 'e3'], 6: ['e0'], 7: ['e4'], 8: ['e1']}",True,False,True,False,False
59,"{'e0': [3, 6, 2, 1], 'e1': [2, 7, 8, 1, 3, 6, 5], 'e2': [6, 3, 1, 8, 4], 'e3': [8, 3, 1, 4, 5, 7, 2, 6], 'e4': [8, 7, 1, 3, 4, 6, 2]}",8,5,True,True,True,True,True,"{1: ['e0', 'e1', 'e2', 'e3', 'e4'], 2: ['e0', 'e1', 'e3', 'e4'], 3: ['e0', 'e1', 'e2', 'e3', 'e4'], 4: ['e2', 'e3', 'e4'], 5: ['e1', 'e3'], 6: ['e0', 'e1', 'e2', 'e3', 'e4'], 7: ['e1', 'e3', 'e4'], 8: ['e1', 'e2', 'e3', 'e4']}",True,False,True,True,True
60,"{'e0': [8, 3, 7, 6, 2], 'e1': [5, 8, 6, 3, 7], 'e2': [3, 8], 'e3': [2, 6, 3, 7, 4, 1], 'e4': [7, 8, 5, 2, 1, 4, 6, 3]}",8,5,True,False,True,True,True,"{1: ['e3', 'e4'], 2: ['e0', 'e3', 'e4'], 3: [], 4: ['e3', 'e4'], 5: ['e1', 'e4'], 6: ['e0', 'e1', 'e3', 'e4'], 7: ['e0', 'e1', 'e3', 'e4'], 8: ['e0', 'e1', 'e2', 'e4']}",True,False,True,True,True
61,"{'e0': [1, 5, 6, 7, 2, 8, 3], 'e1': [7, 4], 'e2': [1, 2], 'e3': [3, 2, 1], 'e4': [7, 1, 2, 8, 3, 6]}",8,5,True,False,True,False,False,"{1: ['e0', 'e2', 'e3', 'e4'], 2: ['e0', 'e2', 'e3', 'e4'], 3: ['e0', 'e3', 'e4'], 4: ['e1'], 5: ['e0'], 6: ['e0', 'e4'], 7: [], 8: ['e0', 'e4']}",True,True,True,False,False
62,"{'e0': [1, 5, 2], 'e1': [2, 8, 4, 1, 7, 3, 5], 'e2': [8, 7], 'e3': [8, 7, 3, 1, 5, 2], 'e4': [8, 2, 3, 6, 4, 5, 7, 1]}",8,5,True,True,True,False,False,"{1: ['e0', 'e1', 'e3', 'e4'], 2: ['e0', 'e1', 'e3', 'e4'], 3: ['e1', 'e3', 'e4'], 4: ['e1', 'e4'], 5: ['e0', 'e1', 'e3', 'e4'], 6: ['e4'], 7: ['e1', 'e2', 'e3', 'e4'], 8: ['e1', 'e2', 'e3', 'e4']}",True,True,True,True,True
63,"{'e0': [2, 1, 7, 6], 'e1': [4, 6, 8, 5, 3], 'e2': [7, 2, 3, 8, 1, 6, 5], 'e3': [5, 7, 8, 3, 6, 2], 'e4': [7, 1, 5]}",8,5,True,False,True,True,True,"{1: ['e0', 'e2', 'e4'], 2: ['e0', 'e2', 'e3'], 3: ['e1', 'e2', 'e3'], 4: ['e1'], 5: ['e1', 'e2', 'e3', 'e4'], 6: ['e0', 'e1', 'e2', 'e3'], 7: ['e0', 'e2', 'e3', 'e4'], 8: ['e1', 'e2', 'e3']}",False,False,True,False,False
64,"{'e0': [8, 4], 'e1': [8, 6, 7, 4, 2, 5, 1], 'e2': [1, 8, 3], 'e3': [1, 5], 'e4': [4, 5]}",8,5,True,False,False,False,False,"{1: ['e1', 'e2', 'e3'], 2: ['e1'], 3: ['e2'], 4: ['e0', 'e1', 'e4'], 5: ['e1', 'e3', 'e4'], 6: ['e1'], 7: ['e1'], 8: ['e0', 'e1', 'e2']}",False,False,True,False,False
65,"{'e0': [4, 7, 6, 8, 3, 2], 'e1': [7, 1, 6], 'e2': [7, 4, 8, 1, 6], 'e3': [5, 2, 4, 6], 'e4': [8, 4, 5]}",8,5,False,False,True,False,False,"{1: ['e1', 'e2'], 2: ['e0', 'e3'], 3: ['e0'], 4: ['e0', 'e2', 'e3'], 5: ['e3', 'e4'], 6: ['e0', 'e2', 'e3'], 7: ['e0', 'e1', 'e2'], 8: ['e0', 'e2', 'e4']}",True,False,True,False,False
66,"{'e0': [8, 1, 4, 3, 6, 2], 'e1': [2, 6, 4, 7, 3, 5, 1, 8], 'e2': [6, 1, 2, 5, 7, 3], 'e3': [2, 1], 'e4': [7, 4, 5, 8, 3, 1, 2]}",8,5,True,False,True,True,True,"{1: ['e0', 'e1', 'e2', 'e3', 'e4'], 2: ['e0', 'e1', 'e2', 'e3', 'e4'], 3: ['e0', 'e1', 'e2', 'e4'], 4: ['e0', 'e1', 'e4'], 5: ['e1', 'e2', 'e4'], 6: ['e0', 'e1', 'e2'], 7: ['e1', 'e2', 'e4'], 8: ['e0', 'e1', 'e4']}",True,False,True,True,True
67,"{'e0': [5, 2, 8, 1, 3, 4], 'e1': [6, 1], 'e2': [6, 8, 7, 5, 1, 2, 4, 3], 'e3': [1, 4], 'e4': [3, 5, 2, 4, 7, 8, 1]}",8,5,True,True,True,True,True,"{1: [], 2: ['e0', 'e2', 'e4'], 3: ['e0', 'e2', 'e4'], 4: ['e0', 'e2', 'e3', 'e4'], 5: ['e0', 'e2', 'e4'], 6: ['e1', 'e2'], 7: ['e2', 'e4'], 8: ['e0', 'e2', 'e4']}",True,False,True,True,True
68,"{'e0': [5, 4, 6], 'e1': [6, 7, 8, 3, 4, 2, 1], 'e2': [5, 1], 'e3': [5, 1, 6], 'e4': [5, 2, 4, 8, 1, 3, 7]}",8,5,False,False,True,True,True,"{1: ['e1', 'e2', 'e3', 'e4'], 2: ['e1', 'e4'], 3: ['e1', 'e4'], 4: ['e0', 'e1', 'e4'], 5: ['e0', 'e2', 'e3', 'e4'], 6: ['e0', 'e1', 'e3'], 7: ['e1', 'e4'], 8: ['e1', 'e4']}",False,False,True,True,True
69,"{'e0': [4, 5], 'e1': [5, 7, 8, 6, 3, 2, 1], 'e2': [8, 5, 3, 7], 'e3': [1, 8, 2, 6], 'e4': [5, 8, 6]}",8,5,True,False,True,False,False,"{1: ['e1', 'e3'], 2: ['e1', 'e3'], 3: ['e1', 'e2'], 4: ['e0'], 5: ['e1', 'e2', 'e4'], 6: ['e1', 'e3', 'e4'], 7: ['e1', 'e2'], 8: ['e1', 'e2', 'e4']}",True,False,True,False,False
70,"{'e0': [5, 8, 7, 6, 4], 'e1': [7, 1, 4, 5], 'e2': [6, 7], 'e3': [1, 6, 3, 2, 7, 5, 8], 'e4': [6, 2, 1, 3, 7, 8, 4]}",8,5,False,False,True,True,True,"{1: ['e1', 'e3', 'e4'], 2: ['e3', 'e4'], 3: ['e3', 'e4'], 4: ['e0', 'e1', 'e4'], 5: ['e0', 'e1', 'e3'], 6: ['e0', 'e2', 'e3', 'e4'], 7: [], 8: ['e0', 'e3', 'e4']}",True,False,True,True,True
71,"{'e0': [7, 2, 6, 3, 5, 4], 'e1': [2, 6, 7, 4, 8], 'e2': [8, 5, 3, 2, 4, 1], 'e3': [8, 1, 2, 3, 4, 5, 7], 'e4': [3, 6, 5, 2, 7, 1, 4]}",8,5,False,False,True,True,True,"{1: ['e2', 'e3', 'e4'], 2: ['e0', 'e1', 'e2', 'e3', 'e4'], 3: ['e0', 'e2', 'e3', 'e4'], 4: ['e0', 'e1', 'e2', 'e3', 'e4'], 5: ['e0', 'e2', 'e3', 'e4'], 6: ['e0', 'e1', 'e4'], 7: ['e0', 'e1', 'e3', 'e4'], 8: ['e1', 'e2', 'e3']}",True,False,True,True,True
